ordering,selection,placement,mean_gap_pct,mean_gap_c,mean_gap_bkw,mean_gap_nt,instances
area,max-area,MaxD,21.4740,18.035719047619047,18.8109,23.0,104
height,tre,RM,21.5818,21.75925714285714,18.658646153846153,22.071428571428573,104
height,tre,MinD,22.0312,22.169314285714286,18.322115384615383,22.678571428571427,104
height,tre,SN,22.1061,21.832014285714287,18.427884615384617,22.87142857142857,104
height,nre,RM,22.1936,19.080690476190476,16.418276923076924,24.2,104
height,nre,MaxD,22.5602,20.443119047619046,17.15063846153846,24.2,104
height,nre,TN,22.5630,20.033061904761905,17.64263846153846,24.235714285714284,104
height,nre,MinD,22.6393,20.01322857142857,16.16986923076923,24.62857142857143,104
height,nre,SN,23.0872,17.4537,21.195507692307693,25.12857142857143,104
height,nre,LM,23.2398,18.968261904761906,18.469561538461537,25.40714285714286,104
